User_ID,Age,Gender,City,Subscription_Type,Monthly_Fee,Watch_Hours,Movies_Watched,Series_Watched,Favorite_Genre,Rating_Given,Device,Membership_Years,Cancelled
10023,46,Male,Bengaluru,Basic,199,49.8,13,5,Documentary,4.2,Smart TV,3.2,No
10024,59,Male,Hyderabad,Premium,799,113.5,25,11,Drama,3.9,Smart TV,2.3,No
10025,34,Female,Mumbai,Standard,499,85.8,17,8,Action,3.9,Smart TV,9.9,No
10026,24,Male,Pune,Standard,499,35.0,11,4,Thriller,3.3,Tablet,4.5,Yes
10027,40,Male,Hyderabad,Standard,499,103.9,29,8,Comedy,3.9,Mobile,9.0,Yes
10028,25,Male,Bengaluru,Basic,199,41.7,13,4,Documentary,3.2,Tablet,0.9,No
10029,43,Male,Surat,Premium,799,108.8,20,10,Thriller,4.4,Laptop,7.1,No
10030,42,Female,Bengaluru,Premium,799,96.8,32,8,Action,4.2,Tablet,2.1,No
10031,39,Male,Bengaluru,Standard,499,60.3,24,6,Documentary,3.9,Mobile,7.4,No
10032,53,Female,Pune,Basic,199,39.0,15,3,Documentary,3.9,Laptop,4.9,No
10033,44,Female,Kolkata,Standard,499,109.1,27,10,Sci-Fi,4.6,Laptop,6.8,No
10034,60,Female,Delhi,Standard,499,85.7,20,10,Thriller,4.5,Smart TV,8.3,No
10035,24,Female,Surat,Standard,499,110.8,21,8,Thriller,5.0,Laptop,4.2,No
10036,52,Male,Ahmedabad,Standard,499,89.1,25,7,Crime,4.2,Tablet,8.1,No
10037,42,Male,Jaipur,Basic,199,36.6,14,3,Romance,4.3,Mobile,9.3,No
10038,36,Female,Bengaluru,Standard,499,18.6,4,2,Thriller,3.6,Smart TV,3.3,No
10039,56,Female,Surat,Standard,499,44.0,12,3,Thriller,4.0,Smart TV,9.5,No
10040,24,Female,Kolkata,Premium,799,95.2,22,10,Drama,5.0,Mobile,1.9,No
10041,42,Male,Pune,Premium,799,105.9,27,12,Sci-Fi,4.4,Laptop,1.3,No
10042,62,Male,Delhi,Standard,499,21.5,3,0,Sci-Fi,3.2,Laptop,7.2,No
10043,50,Female,Bengaluru,Basic,199,75.4,22,7,Romance,4.4,Laptop,6.0,No
10044,35,Male,Jaipur,Basic,199,51.4,17,5,Action,3.7,Laptop,9.9,No
10045,45,Female,Surat,Basic,199,78.7,16,6,Crime,4.2,Laptop,9.2,No
10046,37,Male,Ahmedabad,Basic,199,34.0,1,2,Thriller,3.8,Laptop,3.0,Yes
10047,28,Male,Surat,Premium,799,142.3,42,16,Documentary,4.7,Mobile,4.5,No
10048,23,Female,Mumbai,Premium,799,128.3,33,9,Thriller,4.5,Smart TV,5.0,Yes
10049,26,Female,Mumbai,Standard,499,84.2,25,7,Comedy,4.9,Mobile,7.4,No
10050,51,Female,Hyderabad,Standard,499,97.8,18,8,Comedy,4.4,Smart TV,6.4,No
10051,56,Female,Delhi,Basic,199,38.7,22,5,Romance,4.4,Laptop,4.5,No
10052,47,Male,Surat,Standard,499,50.4,2,5,Comedy,3.1,Mobile,9.1,No
10053,60,Male,Ahmedabad,Premium,799,68.9,16,6,Documentary,4.4,Mobile,4.9,No
10054,49,Male,Delhi,Standard,499,35.9,16,4,Thriller,3.5,Laptop,7.1,No
10055,29,Female,Delhi,Basic,199,39.9,15,4,Action,3.7,Laptop,3.8,No
10056,34,Female,Pune,Basic,199,37.5,8,3,Action,4.7,Tablet,5.1,Yes
10057,41,Female,Surat,Standard,499,66.7,13,11,Romance,4.0,Smart TV,4.0,No
10058,52,Male,Jaipur,Basic,199,61.5,16,4,Documentary,4.1,Mobile,5.4,No
10059,42,Female,Surat,Basic,199,73.8,19,4,Comedy,4.3,Mobile,1.3,No
10060,58,Male,Hyderabad,Standard,499,81.9,16,7,Sci-Fi,5.0,Laptop,6.1,No
10061,47,Male,Kolkata,Standard,499,79.7,11,6,Documentary,3.8,Mobile,3.6,No
10062,21,Male,Hyderabad,Basic,199,5.0,4,0,Romance,3.2,Mobile,9.8,No
10063,22,Female,Surat,Standard,499,100.4,27,6,Romance,5.0,Tablet,7.3,No
10064,28,Male,Pune,Basic,199,17.4,4,0,Thriller,4.0,Smart TV,1.6,No
10065,37,Male,Bengaluru,Standard,499,61.3,4,3,Action,4.2,Mobile,5.7,No
10066,28,Male,Delhi,Basic,199,97.8,21,8,Sci-Fi,5.0,Smart TV,8.0,No
10067,47,Male,Bengaluru,Basic,199,59.8,22,6,Thriller,3.9,Mobile,8.5,No
10068,57,Female,Ahmedabad,Basic,199,64.8,17,9,Thriller,4.5,Laptop,3.5,No
10069,57,Male,Chennai,Standard,499,130.0,24,14,Comedy,3.9,Laptop,3.9,Yes
10070,56,Male,Pune,Premium,799,75.6,24,8,Thriller,4.8,Laptop,1.8,No
10071,27,Male,Hyderabad,Standard,499,104.3,29,11,Romance,4.2,Mobile,1.9,No
10072,48,Male,Ahmedabad,Basic,199,75.7,16,9,Sci-Fi,3.9,Tablet,1.9,No
10073,43,Female,Surat,Standard,499,109.5,29,8,Thriller,4.3,Tablet,9.6,No
10074,54,Female,Surat,Standard,499,74.9,18,7,Action,4.5,Tablet,8.8,No
10075,57,Male,Bengaluru,Basic,199,37.5,6,2,Documentary,4.3,Mobile,2.3,Yes
10076,55,Female,Chennai,Standard,499,95.4,20,9,Drama,4.1,Smart TV,6.2,No
10077,23,Male,Kolkata,Standard,499,42.4,9,3,Action,3.8,Mobile,4.8,No
10078,37,Female,Hyderabad,Standard,499,57.3,10,6,Sci-Fi,4.1,Smart TV,2.5,No
10079,49,Female,Mumbai,Premium,799,197.2,49,18,Thriller,5.0,Mobile,1.1,No
10080,47,Female,Ahmedabad,Standard,499,62.2,16,8,Documentary,3.1,Tablet,7.9,No
10081,24,Male,Kolkata,Basic,199,21.8,1,1,Action,3.7,Mobile,6.6,Yes
10082,50,Female,Kolkata,Basic,199,64.4,10,6,Drama,4.1,Smart TV,0.7,No
10083,48,Male,Delhi,Basic,199,64.2,18,9,Documentary,3.7,Laptop,8.4,No
10084,40,Male,Pune,Basic,199,56.5,7,3,Thriller,3.7,Mobile,4.5,No
10085,34,Female,Ahmedabad,Basic,199,8.4,10,2,Action,3.6,Laptop,3.3,No
10086,46,Male,Delhi,Standard,499,60.1,23,4,Documentary,4.8,Mobile,2.6,No
10087,59,Female,Bengaluru,Basic,199,17.4,7,3,Comedy,3.9,Mobile,5.8,Yes
10088,38,Female,Surat,Basic,199,31.9,12,8,Romance,3.7,Tablet,6.5,No
10089,56,Female,Ahmedabad,Basic,199,52.9,12,4,Romance,4.5,Laptop,1.1,No
10090,62,Male,Delhi,Basic,199,14.9,3,2,Action,3.5,Laptop,5.6,No
10091,52,Male,Delhi,Standard,499,48.3,5,6,Thriller,4.6,Tablet,4.4,No
10092,41,Male,Kolkata,Standard,499,95.5,16,6,Documentary,4.4,Mobile,3.9,No
10093,58,Male,Surat,Standard,499,100.9,32,10,Documentary,4.8,Tablet,9.8,No
10094,40,Male,Delhi,Standard,499,100.5,25,7,Documentary,4.9,Laptop,0.8,No
10095,62,Female,Ahmedabad,Basic,199,77.1,5,5,Thriller,4.8,Smart TV,6.6,No
10096,35,Male,Surat,Basic,199,44.8,11,7,Sci-Fi,4.0,Laptop,3.5,No
10097,56,Female,Pune,Basic,199,55.1,13,4,Thriller,3.6,Laptop,0.5,No
10098,56,Female,Bengaluru,Basic,199,49.5,9,3,Action,3.4,Laptop,6.0,Yes
10099,63,Male,Jaipur,Basic,199,12.8,1,2,Documentary,4.3,Mobile,8.6,Yes
10100,24,Female,Pune,Basic,199,37.0,13,5,Comedy,4.0,Tablet,6.1,No
10101,20,Female,Hyderabad,Premium,799,155.0,46,14,Thriller,4.8,Mobile,5.4,No
10102,35,Female,Mumbai,Standard,499,82.4,13,4,Crime,4.4,Smart TV,6.2,No
10103,58,Female,Ahmedabad,Premium,799,98.8,21,12,Comedy,5.0,Tablet,5.6,Yes
10104,55,Female,Bengaluru,Standard,499,78.3,18,6,Crime,4.7,Laptop,9.4,No
10105,50,Female,Kolkata,Standard,499,102.7,25,11,Comedy,5.0,Tablet,5.9,No
10106,24,Male,Surat,Standard,499,100.5,27,12,Action,5.0,Smart TV,7.1,No
10107,19,Female,Mumbai,Premium,799,126.9,30,15,Action,4.9,Mobile,0.5,No
10108,45,Female,Bengaluru,Basic,199,45.6,12,4,Thriller,3.8,Laptop,3.2,No
10109,18,Female,Surat,Premium,799,106.6,27,9,Crime,4.6,Smart TV,3.4,No
10110,64,Male,Ahmedabad,Premium,799,180.6,41,16,Comedy,5.0,Laptop,6.1,No
10111,49,Female,Pune,Basic,199,47.7,5,7,Romance,4.0,Smart TV,9.5,No
10112,20,Male,Mumbai,Basic,199,63.0,15,3,Drama,4.8,Tablet,4.5,No
10113,44,Female,Jaipur,Standard,499,60.5,18,7,Action,4.8,Mobile,8.7,No
10114,20,Female,Jaipur,Standard,499,94.2,25,7,Romance,4.6,Laptop,7.7,Yes
10115,19,Female,Kolkata,Standard,499,44.3,14,3,Comedy,3.8,Tablet,5.8,No
10116,55,Male,Kolkata,Standard,499,68.7,5,8,Comedy,3.7,Laptop,6.2,No
10117,50,Female,Mumbai,Standard,499,71.9,18,5,Action,3.8,Mobile,5.1,No
10118,61,Male,Kolkata,Basic,199,30.0,6,4,Comedy,4.0,Mobile,5.9,Yes
10119,64,Male,Chennai,Standard,499,81.5,17,8,Comedy,4.6,Tablet,7.2,No
10120,29,Male,Jaipur,Standard,499,113.8,30,14,Thriller,4.5,Smart TV,5.1,No
10121,39,Male,Kolkata,Basic,199,60.5,12,11,Action,4.1,Smart TV,6.8,No
10122,41,Female,Bengaluru,Standard,499,95.3,18,11,Sci-Fi,4.4,Tablet,1.2,No
10123,51,Female,Hyderabad,Basic,199,54.5,18,5,Documentary,4.8,Laptop,4.7,No
10124,43,Female,Pune,Premium,799,93.4,16,11,Crime,4.4,Laptop,4.1,No
10125,56,Male,Pune,Basic,199,56.5,12,6,Drama,3.9,Smart TV,5.2,No
10126,53,Male,Chennai,Basic,199,57.5,13,3,Documentary,4.5,Smart TV,3.0,No
10127,18,Male,Hyderabad,Basic,199,8.1,3,0,Sci-Fi,3.4,Tablet,8.4,No
10128,32,Female,Pune,Basic,199,66.9,22,7,Drama,4.3,Laptop,5.0,No
10129,22,Male,Mumbai,Basic,199,64.6,16,6,Comedy,3.7,Laptop,0.9,No
10130,60,Female,Chennai,Standard,499,68.0,4,6,Sci-Fi,4.3,Laptop,7.0,No
10131,39,Male,Delhi,Basic,199,31.2,11,1,Action,4.6,Smart TV,6.9,No
10132,44,Female,Jaipur,Premium,799,116.9,29,12,Romance,4.7,Tablet,2.8,No
10133,23,Male,Jaipur,Standard,499,96.0,18,8,Action,4.6,Mobile,4.2,No
10134,21,Female,Ahmedabad,Premium,799,110.0,28,11,Romance,4.3,Laptop,3.2,No
10135,32,Male,Surat,Standard,499,72.6,25,7,Documentary,3.8,Smart TV,8.3,Yes
10136,52,Female,Surat,Standard,499,55.2,3,2,Drama,3.8,Laptop,2.8,Yes
10137,60,Female,Chennai,Standard,499,95.6,24,6,Romance,4.5,Laptop,8.5,No
10138,21,Female,Bengaluru,Standard,499,99.0,26,9,Sci-Fi,4.7,Laptop,2.8,No
10139,21,Female,Jaipur,Basic,199,53.6,20,8,Romance,4.3,Smart TV,3.5,No
10140,53,Female,Pune,Basic,199,56.6,16,7,Romance,3.8,Smart TV,2.3,No
10141,32,Female,Kolkata,Premium,799,134.3,22,18,Drama,5.0,Mobile,1.6,No
10142,56,Female,Jaipur,Premium,799,111.7,31,9,Drama,5.0,Smart TV,2.8,No
10143,34,Female,Bengaluru,Standard,499,135.6,27,14,Documentary,5.0,Smart TV,2.1,No
10144,52,Male,Bengaluru,Standard,499,41.6,11,3,Drama,4.9,Smart TV,4.2,No
10145,55,Female,Chennai,Basic,199,84.2,18,10,Thriller,4.1,Laptop,0.7,No
10146,30,Male,Delhi,Basic,199,72.6,26,4,Sci-Fi,3.7,Mobile,4.3,No
10147,39,Female,Delhi,Basic,199,23.1,9,0,Documentary,4.0,Tablet,6.1,No
10148,30,Male,Jaipur,Standard,499,121.8,32,12,Documentary,4.4,Tablet,4.9,No
10149,57,Female,Bengaluru,Basic,199,75.0,17,2,Sci-Fi,4.1,Tablet,0.5,No
10150,33,Female,Hyderabad,Standard,499,99.3,19,11,Sci-Fi,4.2,Laptop,1.4,No
10151,18,Male,Ahmedabad,Basic,199,44.2,9,1,Sci-Fi,3.5,Laptop,3.7,No
10152,59,Female,Mumbai,Basic,199,57.8,26,6,Drama,4.1,Laptop,9.2,No
10153,26,Male,Bengaluru,Premium,799,147.6,35,15,Comedy,5.0,Laptop,8.7,No
10154,18,Female,Hyderabad,Basic,199,64.2,16,2,Romance,4.1,Mobile,6.0,No
10155,29,Female,Pune,Basic,199,34.0,10,0,Drama,3.9,Mobile,5.0,Yes
10156,36,Female,Surat,Basic,199,25.8,9,0,Action,3.9,Laptop,6.4,Yes
10157,45,Female,Ahmedabad,Standard,499,96.1,30,7,Documentary,4.4,Tablet,3.3,Yes
10158,53,Female,Hyderabad,Standard,499,118.0,36,10,Documentary,4.4,Laptop,2.7,No
10159,54,Male,Hyderabad,Basic,199,47.4,16,2,Thriller,3.3,Laptop,2.3,No
10160,22,Male,Bengaluru,Basic,199,45.3,6,8,Drama,4.3,Laptop,8.0,No
10161,43,Female,Pune,Standard,499,76.9,17,7,Drama,5.0,Tablet,3.0,No
10162,58,Female,Mumbai,Basic,199,71.8,20,6,Crime,4.6,Mobile,6.3,No
10163,25,Male,Hyderabad,Premium,799,129.8,31,14,Crime,5.0,Mobile,2.9,No
10164,30,Female,Jaipur,Standard,499,80.8,16,8,Documentary,5.0,Smart TV,1.9,No
10165,53,Male,Pune,Standard,499,76.9,19,2,Documentary,4.3,Smart TV,0.8,No
10166,55,Male,Mumbai,Standard,499,68.7,14,9,Documentary,4.5,Tablet,1.4,No
10167,58,Male,Surat,Standard,499,44.5,18,5,Documentary,3.6,Laptop,2.5,No
10168,33,Female,Delhi,Premium,799,96.6,22,9,Comedy,4.1,Laptop,5.0,No
10169,38,Female,Ahmedabad,Basic,199,29.1,0,4,Romance,3.9,Mobile,4.7,Yes
10170,25,Female,Kolkata,Standard,499,101.5,22,11,Romance,4.2,Smart TV,8.7,No
10171,19,Male,Bengaluru,Basic,199,47.1,9,5,Documentary,3.3,Tablet,7.7,No
10172,20,Male,Hyderabad,Premium,799,120.9,22,12,Comedy,5.0,Smart TV,8.5,No
10173,18,Female,Bengaluru,Standard,499,88.2,26,8,Comedy,3.9,Mobile,7.7,Yes
10174,44,Male,Delhi,Basic,199,54.9,12,7,Action,3.7,Tablet,6.7,No
10175,23,Female,Ahmedabad,Standard,499,76.6,19,4,Thriller,3.8,Laptop,7.7,No
10176,57,Male,Bengaluru,Basic,199,84.5,19,5,Drama,4.9,Laptop,8.9,No
10177,54,Female,Surat,Basic,199,41.7,4,4,Documentary,4.3,Tablet,4.3,No
10178,63,Male,Hyderabad,Standard,499,120.8,34,13,Crime,4.5,Mobile,8.1,No
10179,45,Male,Jaipur,Standard,499,82.0,27,8,Sci-Fi,4.1,Laptop,4.0,No
10180,28,Male,Jaipur,Standard,499,126.5,26,12,Drama,4.4,Tablet,8.0,No
10181,23,Male,Ahmedabad,Basic,199,57.1,14,7,Thriller,4.7,Smart TV,2.1,No
10182,22,Female,Hyderabad,Basic,199,70.7,16,8,Drama,4.0,Tablet,8.5,No
10183,59,Female,Hyderabad,Basic,199,44.5,6,3,Sci-Fi,3.9,Smart TV,9.3,No
10184,61,Male,Pune,Basic,199,45.5,13,3,Crime,4.6,Smart TV,3.1,No
10185,24,Male,Surat,Basic,199,5.0,5,0,Drama,3.6,Tablet,3.8,No
10186,36,Male,Jaipur,Standard,499,77.4,31,8,Thriller,4.0,Tablet,9.8,No
10187,51,Female,Surat,Premium,799,101.8,33,11,Comedy,5.0,Mobile,1.3,No
10188,39,Female,Jaipur,Standard,499,134.3,38,12,Drama,5.0,Laptop,2.6,No
10189,27,Male,Ahmedabad,Standard,499,124.2,25,12,Documentary,4.5,Mobile,5.7,No
10190,38,Male,Hyderabad,Basic,199,35.8,6,3,Sci-Fi,4.5,Tablet,3.6,Yes
10191,20,Female,Mumbai,Basic,199,51.7,16,8,Drama,4.8,Tablet,7.6,Yes
10192,29,Female,Kolkata,Standard,499,59.9,4,5,Crime,3.7,Tablet,4.3,No
10193,59,Female,Pune,Standard,499,126.8,37,14,Romance,4.7,Tablet,8.1,No
10194,25,Male,Bengaluru,Basic,199,18.7,11,1,Sci-Fi,3.2,Laptop,9.0,No
10195,30,Female,Pune,Standard,499,80.6,27,8,Sci-Fi,4.3,Laptop,9.7,No
10196,52,Male,Jaipur,Premium,799,94.1,25,8,Sci-Fi,4.7,Laptop,7.0,No
10197,51,Female,Ahmedabad,Standard,499,54.8,19,5,Sci-Fi,4.6,Tablet,5.0,No
10198,64,Female,Surat,Standard,499,68.6,15,5,Comedy,4.8,Mobile,1.3,No
10199,33,Female,Delhi,Basic,199,81.6,22,7,Comedy,4.6,Tablet,8.2,Yes
10200,64,Female,Bengaluru,Basic,199,31.5,10,2,Comedy,3.6,Mobile,6.7,No
10201,35,Male,Mumbai,Basic,199,60.3,15,7,Romance,4.4,Smart TV,8.8,No
10202,36,Female,Pune,Basic,199,42.4,4,3,Action,3.4,Mobile,4.1,No
10203,62,Male,Jaipur,Basic,199,57.8,10,6,Comedy,4.4,Tablet,9.7,No
10204,47,Male,Mumbai,Premium,799,139.8,33,14,Crime,5.0,Tablet,1.6,Yes
10205,33,Male,Mumbai,Basic,199,17.9,8,3,Crime,4.4,Laptop,3.3,No
10206,61,Male,Bengaluru,Basic,199,67.0,13,4,Thriller,4.5,Mobile,5.9,No
10207,29,Female,Jaipur,Premium,799,149.3,39,16,Comedy,5.0,Laptop,8.9,No
10208,29,Male,Ahmedabad,Basic,199,78.6,18,6,Romance,4.4,Tablet,6.6,No
10209,34,Male,Hyderabad,Premium,799,164.4,44,15,Drama,5.0,Smart TV,5.3,No
10210,30,Male,Hyderabad,Basic,199,45.6,1,1,Action,4.3,Laptop,2.4,No
10211,59,Male,Hyderabad,Basic,199,56.0,15,0,Romance,3.5,Mobile,3.2,No
10212,30,Female,Ahmedabad,Basic,199,54.3,9,5,Comedy,3.2,Mobile,1.6,No
10213,50,Male,Surat,Premium,799,108.9,21,11,Documentary,4.9,Tablet,7.4,No
10214,35,Male,Ahmedabad,Premium,799,124.3,28,11,Documentary,4.4,Tablet,7.0,No
10215,27,Female,Ahmedabad,Standard,499,74.9,23,6,Comedy,4.9,Mobile,3.6,No
10216,19,Male,Hyderabad,Basic,199,64.2,17,7,Comedy,4.4,Tablet,6.3,No
10217,54,Male,Mumbai,Premium,799,136.8,38,12,Documentary,4.8,Smart TV,5.6,No
10218,47,Female,Delhi,Standard,499,106.2,24,10,Crime,4.2,Smart TV,4.3,No
10219,41,Male,Delhi,Standard,499,117.4,31,11,Crime,4.6,Tablet,1.4,No
10220,48,Male,Mumbai,Basic,199,30.7,5,5,Action,4.4,Laptop,0.7,Yes
10221,22,Female,Kolkata,Premium,799,156.7,39,13,Crime,5.0,Smart TV,6.0,No
10222,54,Female,Bengaluru,Standard,499,35.8,1,3,Comedy,3.4,Smart TV,3.5,Yes
10223,49,Female,Hyderabad,Basic,199,50.3,13,2,Sci-Fi,4.1,Mobile,1.3,Yes
10224,49,Male,Ahmedabad,Basic,199,84.7,32,8,Drama,4.8,Mobile,7.7,No
10225,52,Male,Delhi,Standard,499,52.1,16,2,Comedy,4.1,Tablet,8.4,No
10226,34,Male,Pune,Basic,199,72.0,27,6,Romance,3.7,Smart TV,6.4,Yes
10227,56,Female,Bengaluru,Basic,199,83.3,28,7,Action,4.3,Tablet,3.9,No
10228,53,Female,Mumbai,Basic,199,47.5,6,7,Romance,4.0,Tablet,9.8,No
10229,45,Male,Pune,Basic,199,64.8,17,7,Documentary,4.3,Mobile,3.9,No
10230,39,Male,Ahmedabad,Standard,499,54.4,9,7,Romance,4.4,Laptop,3.5,No
10231,64,Male,Ahmedabad,Basic,199,30.6,0,1,Drama,3.5,Tablet,8.1,No
10232,57,Male,Jaipur,Premium,799,116.3,27,11,Drama,4.7,Laptop,6.5,No
10233,36,Male,Hyderabad,Basic,199,59.4,5,9,Crime,4.4,Laptop,6.5,Yes
10234,56,Male,Kolkata,Basic,199,79.1,19,4,Documentary,4.0,Laptop,7.2,No
10235,48,Male,Chennai,Basic,199,73.0,19,6,Documentary,3.7,Tablet,5.7,No
10236,41,Male,Hyderabad,Basic,199,86.0,27,6,Romance,4.7,Smart TV,1.2,No
10237,32,Male,Mumbai,Basic,199,54.5,15,6,Drama,4.4,Mobile,4.3,No
10238,28,Male,Mumbai,Basic,199,69.1,12,8,Comedy,3.8,Smart TV,1.1,No
10239,29,Male,Bengaluru,Standard,499,85.2,26,8,Action,4.6,Laptop,9.1,No
10240,60,Male,Bengaluru,Basic,199,64.8,16,4,Action,4.3,Tablet,8.5,No
10241,59,Male,Bengaluru,Standard,499,82.2,21,8,Romance,4.2,Tablet,3.3,No
10242,24,Male,Delhi,Basic,199,48.5,17,7,Thriller,4.2,Mobile,1.6,Yes
10243,40,Male,Delhi,Basic,199,33.4,15,5,Action,4.4,Tablet,8.8,No
10244,18,Female,Bengaluru,Premium,799,131.2,29,13,Sci-Fi,4.7,Smart TV,9.8,No
10245,64,Female,Mumbai,Basic,199,15.1,4,1,Sci-Fi,3.3,Laptop,8.4,No
10246,33,Male,Mumbai,Basic,199,62.3,17,9,Crime,3.9,Tablet,0.9,No
10247,29,Female,Bengaluru,Premium,799,140.2,38,15,Sci-Fi,4.6,Mobile,1.6,No
10248,20,Male,Jaipur,Premium,799,125.2,32,7,Thriller,4.4,Laptop,7.9,No
10249,49,Female,Delhi,Standard,499,62.3,15,6,Comedy,4.1,Smart TV,6.9,No
10250,62,Male,Bengaluru,Standard,499,63.2,18,7,Crime,4.2,Tablet,7.4,No
10251,64,Male,Jaipur,Premium,799,133.2,28,13,Romance,5.0,Laptop,8.2,No
10252,51,Male,Surat,Standard,499,79.9,23,7,Thriller,4.1,Laptop,2.7,No
10253,47,Female,Kolkata,Basic,199,66.8,13,2,Sci-Fi,4.8,Mobile,4.9,Yes
10254,36,Male,Chennai,Basic,199,59.0,16,2,Romance,4.3,Laptop,2.8,No
10255,25,Male,Surat,Basic,199,33.6,14,4,Crime,3.8,Laptop,7.1,No
10256,39,Female,Jaipur,Standard,499,98.0,18,10,Thriller,4.0,Laptop,6.8,No
10257,39,Male,Jaipur,Standard,499,102.4,15,10,Thriller,4.0,Smart TV,8.1,No
10258,47,Male,Ahmedabad,Premium,799,119.8,33,16,Action,4.6,Smart TV,5.4,Yes
10259,18,Female,Surat,Standard,499,109.8,24,7,Thriller,5.0,Tablet,2.9,No
10260,22,Female,Kolkata,Basic,199,19.5,5,1,Comedy,4.0,Mobile,0.9,No
10261,59,Female,Delhi,Standard,499,59.9,19,5,Sci-Fi,4.5,Mobile,3.9,No
10262,57,Male,Pune,Standard,499,66.2,11,1,Drama,4.2,Mobile,8.6,No
10263,22,Male,Bengaluru,Standard,499,56.2,16,2,Romance,4.2,Mobile,8.8,No
10264,39,Male,Pune,Basic,199,63.8,3,4,Sci-Fi,3.7,Tablet,1.0,No
10265,42,Female,Ahmedabad,Basic,199,74.3,22,3,Romance,4.0,Mobile,8.6,No
10266,51,Male,Jaipur,Basic,199,79.2,11,8,Action,4.0,Smart TV,6.8,No
10267,18,Male,Jaipur,Standard,499,24.0,4,0,Comedy,3.9,Tablet,9.5,No
10268,58,Male,Jaipur,Premium,799,83.8,20,7,Thriller,4.7,Laptop,2.2,Yes
10269,32,Female,Pune,Basic,199,71.2,22,7,Drama,4.5,Mobile,5.8,No
10270,36,Male,Mumbai,Basic,199,19.6,3,2,Thriller,4.2,Smart TV,7.2,No
10271,39,Male,Jaipur,Standard,499,90.5,21,11,Thriller,5.0,Tablet,8.2,No
10272,28,Male,Mumbai,Basic,199,72.2,27,6,Romance,4.3,Mobile,8.4,No
10273,39,Male,Delhi,Basic,199,55.3,18,4,Romance,4.0,Smart TV,2.8,No
10274,41,Female,Surat,Basic,199,38.8,11,4,Action,4.4,Mobile,7.9,No
10275,35,Female,Pune,Basic,199,58.1,14,6,Action,4.1,Mobile,1.5,No
10276,27,Female,Hyderabad,Basic,199,20.1,1,0,Drama,3.6,Smart TV,2.5,Yes
10277,51,Female,Ahmedabad,Standard,499,77.1,15,5,Romance,4.2,Smart TV,7.1,No
10278,21,Male,Ahmedabad,Standard,499,128.7,29,9,Drama,4.9,Mobile,6.0,Yes
10279,62,Female,Chennai,Basic,199,45.7,12,6,Action,4.4,Mobile,6.1,No
10280,34,Female,Delhi,Standard,499,77.3,21,8,Comedy,3.9,Laptop,8.5,No
10281,45,Male,Jaipur,Basic,199,57.0,15,0,Action,4.3,Laptop,8.3,No
10282,60,Female,Delhi,Standard,499,94.7,18,9,Crime,4.4,Smart TV,8.3,Yes
10283,30,Female,Ahmedabad,Standard,499,97.1,31,10,Drama,4.7,Laptop,6.9,No
10284,42,Male,Mumbai,Standard,499,83.9,29,9,Sci-Fi,4.3,Tablet,1.2,No
10285,60,Male,Delhi,Premium,799,107.4,33,12,Drama,4.7,Smart TV,8.8,No
10286,21,Female,Mumbai,Basic,199,42.3,10,2,Documentary,3.9,Smart TV,3.4,No
10287,62,Male,Pune,Basic,199,24.9,10,3,Comedy,3.3,Smart TV,2.0,No
